6153.75,6163.75,R,Strong
6137.50,6148.50,R,Strong
6126.75,6132.75,R,Normal
6121.25,6123.25,R,Normal
6106.00,6116.50,R,Normal
6090.00,6100.00,R,Normal
6086.00,6088.00,L,Normal
6066.50,6075.50,R,Normal
6052.50,6062.50,R,Normal
6049.00,6049.50,L,Normal
6029.50,6029.50,L,Normal
6014.00,6025.00,S,Normal
6002.25,6008.25,S,Normal
5987.00,5997.00,S,Normal
5978.25,5978.25,L,Normal
5950.25,5960.25,S,Normal
5934.50,5948.00,S,Normal
5913.25,5923.25,S,Normal
5909.75,5909.75,L,Normal
5897.75,5907.75,S,Normal
5874.50,5884.50,S,Normal
5855.25,5861.25,S,Normal
5842.50,5852.50,S,Normal
5831.00,5836.50,S,Normal
5809.00,5820.00,S,Normal
5794.25,5806.25,S,Strong
